Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.Isreco.3_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Isreco-3		Isreco-3		Yes
ppb.iBAQ.LIM1215_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM1215		LIM1215		Yes
ppb.iBAQ.LIM1863_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM1863		LIM1863		Yes
ppb.iBAQ.LIM1899_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM1899		LIM1899		Yes
ppb.iBAQ.LIM2099_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM2099		LIM2099		Yes
ppb.iBAQ.LIM2405_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM2405		LIM2405		Yes
ppb.iBAQ.LIM2537_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM2537		LIM2537		Yes
ppb.iBAQ.LIM2551_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	LIM2551		LIM2551		Yes
ppb.iBAQ.LS513_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	LS513		LS513		Yes
ppb.iBAQ.NCI.H747_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	NCI-H747	http://www.ebi.ac.uk/efo/EFO_0002303	NCI-H747	http://www.ebi.ac.uk/efo/EFO_0002303	Yes
ppb.iBAQ.RKO_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	RKO	http://www.ebi.ac.uk/efo/EFO_0001232	RKO	http://www.ebi.ac.uk/efo/EFO_0001232	Yes
ppb.iBAQ.SNU175_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SNU175		SNU175		Yes
ppb.iBAQ.SNUC2B_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SNUC2B		SNUC2B		Yes
ppb.iBAQ.SW1116_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW1116	http://www.ebi.ac.uk/efo/EFO_0002359	SW1116	http://www.ebi.ac.uk/efo/EFO_0002359	Yes
ppb.iBAQ.SW1222_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW1222		SW1222		Yes
ppb.iBAQ.SW480_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW480	http://www.ebi.ac.uk/efo/EFO_0002083	SW480	http://www.ebi.ac.uk/efo/EFO_0002083	Yes
ppb.iBAQ.SW620_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	Yes
ppb.iBAQ.SW948_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW948	http://www.ebi.ac.uk/efo/EFO_0002375	SW948	http://www.ebi.ac.uk/efo/EFO_0002375	Yes
ppb.iBAQ.T84_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	T84	http://www.ebi.ac.uk/efo/EFO_0002084	T84	http://www.ebi.ac.uk/efo/EFO_0002084	Yes
ppb.iBAQ.VACO4S_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	VACO4S		VACO4S		Yes
ppb.iBAQ.VACO5_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	VACO5		VACO5		Yes
ppb.iBAQ.VACO9P_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	VACO9P		VACO9P		Yes
