Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ppb.iBAQ.MDAMB157_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.MDAMB157_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.MDAMB231_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB231_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB231_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB231_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB436_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MDAMB436_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MDAMB436_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MDAMB436_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MDAMB436	http://www.ebi.ac.uk/efo/EFO_0001214	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.MDAMB453_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB453_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB453_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB453_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB453	http://www.ebi.ac.uk/efo/EFO_0001215	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB468_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB468_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB468_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MDAMB468_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	not available		not available		not available		not available		breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB468	http://www.ebi.ac.uk/efo/EFO_0001216	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ppb.iBAQ.MFM223_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.MFM223_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ppb.iBAQ.MFM223_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	not available		not available		not available		not available		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
