Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.JHOS.2_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-2		JHOS-2		Yes
ppb.iBAQ.JHOS.2_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-2		JHOS-2		Yes
ppb.iBAQ.JHOS.2_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-2		JHOS-2		Yes
ppb.iBAQ.JHOS.4_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-4		JHOS-4		Yes
ppb.iBAQ.JHOS.4_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-4		JHOS-4		Yes
ppb.iBAQ.JHOS.4_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		JHOS-4		JHOS-4		Yes
ppb.iBAQ.KURAMOCHI_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	Yes
ppb.iBAQ.KURAMOCHI_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	Yes
ppb.iBAQ.KURAMOCHI_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	Yes
ppb.iBAQ.ME180C13_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME180C13		ME180C13		Yes
